video_id,channel_id,upload_date,video_category,video_type,video_language,duration_seconds,content_rating,title_length,thumbnail_style
V000125,C01565,2025-04-11,Music,Standard Video,Korean,922,Mature,40,Minimalist
V000126,C00211,2016-01-27,Entertainment,Short,Portuguese,52,General,8,Text Overlay
V000127,C01650,2023-06-15,Technology,Standard Video,English,392,General,33,Minimalist
V000128,C01731,2023-01-13,Music,Standard Video,Indonesian,796,Teen,42,Bright Colors
V000129,C00024,2018-12-31,Comedy,Premiere,Indonesian,199,General,47,Face Close-up
V000130,C01054,2023-12-14,Gaming,Live Stream,Filipino,6400,General,45,Before-After
V000131,C01630,2026-02-16,Gaming,Standard Video,German,620,General,52,Before-After
V000132,C01073,2022-05-06,Technology,Standard Video,English,2396,General,60,Before-After
V000133,C01309,2016-12-26,Entertainment,Live Stream,Spanish,2582,General,49,Collage
V000134,C01989,2018-06-07,Lifestyle,Short,French,17,General,24,Screenshot
V000135,C01247,2026-07-12,Lifestyle,Short,English,30,General,17,Text Overlay
V000136,C01119,2013-11-11,Technology,Short,Hindi,26,General,20,Face Close-up
V000137,C00088,2023-05-06,Gaming,Standard Video,Kannada,1283,General,42,Bright Colors
V000138,C00559,2016-10-12,Film,Short,Hindi,39,Teen,24,Bright Colors
V000139,C01941,2013-01-25,Film,Standard Video,Vietnamese,901,General,35,Screenshot
V000140,C00866,2012-12-13,Education,Short,Spanish,60,General,16,Bright Colors
V000141,C00173,2017-04-01,Gaming,Standard Video,Portuguese,660,Teen,50,Bright Colors
V000142,C01425,2018-12-16,Comedy,Short,English,36,General,25,Face Close-up
V000143,C01783,2019-09-20,Education,Standard Video,Hindi,206,General,48,Before-After
V000144,C01225,2023-04-10,Gaming,Short,Indonesian,57,General,21,Face Close-up
V000145,C01726,2019-12-06,Education,Premiere,English,326,General,65,Face Close-up
V000146,C00780,2026-05-02,Lifestyle,Short,Thai,43,General,16,Screenshot
V000147,C01785,2025-05-17,Sports,Standard Video,Hindi,126,General,57,Before-After
V000148,C00977,2026-01-03,Entertainment,Live Stream,English,12297,General,21,Face Close-up
V000149,C01242,2018-08-27,Entertainment,Standard Video,Hindi,363,Mature,42,Bright Colors
V000150,C00613,2011-07-07,Entertainment,Short,English,33,General,30,Text Overlay
V000151,C01894,2024-02-29,Music,Standard Video,Hindi,467,General,46,Collage
V000152,C01605,2025-12-09,Film,Short,Hindi,30,Teen,24,Face Close-up
V000153,C00068,2017-04-06,Gaming,Standard Video,Hindi,299,Teen,55,Screenshot
V000154,C01644,2025-03-03,Music,Standard Video,English,399,General,37,Collage
V000155,C00739,2025-02-11,Technology,Standard Video,English,411,General,65,Bright Colors
V000156,C00647,2020-11-19,Education,Short,Hindi,43,Mature,,Face Close-up
V000157,C01054,2024-12-18,Gaming,Short,Filipino,19,General,13,Minimalist
V000158,C00261,2019-11-17,Technology,Standard Video,Vietnamese,859,Teen,55,Collage
V000159,C00718,2024-01-30,Gaming,Standard Video,English,239,General,53,Screenshot
V000160,C01489,2017-12-22,Gaming,Live Stream,Spanish,2023,General,36,Minimalist
V000161,C00912,2017-01-02,Music,Standard Video,Portuguese,408,Teen,34,Before-After
V000162,C00256,2023-08-12,Gaming,Standard Video,English,162,General,51,Minimalist
V000163,C01035,2023-02-16,Lifestyle,Standard Video,Portuguese,925,General,61,Minimalist
V000164,C01184,2019-02-14,Music,Standard Video,Urdu,625,General,53,Collage
V000165,C00380,2014-08-28,Gaming,Standard Video,English,559,General,44,Face Close-up
V000166,C00745,2014-04-08,Education,Live Stream,Japanese,10626,General,53,Text Overlay
V000167,C01786,2022-12-18,Music,Short,Indonesian,24,General,28,Text Overlay
V000168,C00449,2014-03-27,Lifestyle,Standard Video,Portuguese,310,General,74,Collage
V000169,C00171,2013-02-15,Technology,Standard Video,Portuguese,992,Mature,,Text Overlay
V000170,C00589,2020-06-29,Gaming,Standard Video,English,360,General,43,Text Overlay
V000171,C00585,2018-09-23,Gaming,Standard Video,Portuguese,403,General,67,Screenshot
V000172,C00861,2013-07-08,News,Live Stream,English,9621,Mature,43,Face Close-up
V000173,C00265,2023-01-03,Film,Standard Video,Indonesian,502,General,43,
V000174,C01281,2026-01-17,Lifestyle,Standard Video,German,272,General,43,Before-After
V000175,C00300,2023-01-09,Music,Short,Portuguese,16,General,28,Before-After
V000176,C01622,2013-10-09,Gaming,Standard Video,Hindi,162,General,47,Minimalist
V000177,C01229,2018-03-08,Education,Short,Portuguese,48,General,29,Collage
V000178,C01830,2019-07-25,Film,Standard Video,Spanish,174,General,32,Bright Colors
V000179,C00485,2025-08-01,Lifestyle,Standard Video,Urdu,133,General,53,Text Overlay
V000180,C00440,2011-07-07,Lifestyle,Standard Video,Turkish,624,General,56,Bright Colors
V000181,C01996,2010-12-10,Education,Short,Hindi,37,General,16,Minimalist
V000182,C01126,2014-06-19,Sports,Standard Video,Hindi,1516,General,75,Face Close-up
V000183,C00366,2023-05-05,Entertainment,Short,Hindi,32,General,25,Minimalist
V000184,C00016,2021-12-04,Lifestyle,Short,Indonesian,31,General,36,Screenshot
V000185,C01468,2014-08-13,Education,Standard Video,English,583,General,42,Bright Colors
V000186,C01117,2022-09-10,Technology,Short,Portuguese,38,General,23,Text Overlay
V000187,C00247,2026-01-07,Sports,Standard Video,English,878,General,34,Text Overlay
V000188,C01058,2025-06-15,Gaming,Live Stream,Korean,4047,General,51,Minimalist
V000189,C00608,2016-05-15,Gaming,Live Stream,Hindi,11373,General,38,Text Overlay
V000190,C00184,2022-06-19,Sports,Short,English,55,General,27,Before-After
V000191,C00564,2022-07-03,Music,Standard Video,English,549,General,24,Screenshot
V000192,C01924,2018-05-10,Entertainment,Live Stream,Hindi,4483,General,48,Bright Colors
V000193,C00474,2019-10-27,Education,Standard Video,Marathi,659,General,38,Screenshot
V000194,C00461,2020-09-27,Sports,Short,Hindi,20,General,20,Screenshot
V000195,C01025,2022-06-29,Sports,Standard Video,English,240,Teen,74,Face Close-up
V000196,C01696,2017-02-15,Gaming,Standard Video,Spanish,331,General,55,
V000197,C01268,2014-10-11,Film,Standard Video,English,1214,General,49,Before-After
V000198,C01506,2013-10-31,Gaming,Standard Video,English,141,Teen,50,Face Close-up
V000199,C00468,2017-03-27,News,Premiere,Turkish,249,General,39,Before-After
V000200,C00465,2020-05-28,Sports,Standard Video,Hindi,982,General,45,Minimalist
V000201,C01802,2025-07-10,Music,Standard Video,English,1308,General,34,Face Close-up
V000202,C00053,2026-03-25,Gaming,Live Stream,Turkish,6215,General,16,Face Close-up
V000203,C00841,2020-11-24,Education,Standard Video,Turkish,287,General,10,Collage
V000204,C01959,2015-09-24,Gaming,Premiere,Spanish,1464,General,21,Minimalist
V000205,C00592,2013-01-31,Music,Standard Video,English,1066,General,62,Before-After
V000206,C00159,2024-11-11,Gaming,Short,English,59,Teen,19,Screenshot
V000207,C00987,2026-01-04,Technology,Short,English,19,General,12,Bright Colors
V000208,C00208,2020-12-22,Comedy,Short,Spanish,53,General,29,Bright Colors
V000209,C01639,2026-06-15,Technology,Standard Video,Spanish,183,General,53,Bright Colors
V000210,C00022,2023-11-03,News,Short,Hindi,27,General,23,Screenshot
V000211,C01616,2013-04-06,Entertainment,Short,English,26,Mature,13,Collage
V000212,C01280,2018-04-01,Entertainment,Short,English,35,Teen,10,Face Close-up
V000213,C01268,2015-02-02,Film,Standard Video,English,193,General,43,Bright Colors
V000214,C00137,2020-03-19,Film,Live Stream,English,3084,General,61,Text Overlay
V000215,C00061,2019-02-05,Lifestyle,Live Stream,Hindi,6883,General,46,Screenshot
V000216,C01943,2017-06-24,Gaming,Standard Video,Vietnamese,580,General,34,Text Overlay
V000217,C01887,2023-04-18,Music,Live Stream,Turkish,6336,General,48,Text Overlay
V000218,C01564,2024-10-27,Lifestyle,Premiere,English,195,General,52,Text Overlay
V000219,C00302,2024-11-24,Lifestyle,Standard Video,English,278,General,39,Screenshot
V000220,C01012,2021-04-01,Entertainment,Short,Hindi,60,General,44,Collage
V000221,C01667,2025-04-07,Gaming,Short,Spanish,43,General,20,Collage
V000222,C01726,2023-07-26,Education,Standard Video,English,1306,General,38,Minimalist
V000223,C00107,2015-07-02,News,Standard Video,Hindi,99,General,68,Before-After
V000224,C00340,2010-06-07,Education,Standard Video,English,658,General,52,Face Close-up
V000225,C00390,2018-12-22,Technology,Standard Video,Portuguese,5400,General,40,Collage
V000226,C01247,2017-02-01,Comedy,Short,English,49,General,21,Face Close-up
V000227,C01570,2014-07-09,Entertainment,Short,Japanese,55,Mature,48,Collage
V000228,C00499,2023-02-06,Comedy,Standard Video,English,967,Mature,53,Face Close-up
V000229,C00016,2022-02-04,Lifestyle,Short,Indonesian,22,General,23,Text Overlay
V000230,C00934,2020-11-23,Sports,Standard Video,Indonesian,926,General,37,Before-After
V000231,C01694,2024-08-12,Entertainment,Standard Video,English,227,General,,Bright Colors
V000232,C00980,2016-05-05,Sports,Standard Video,Urdu,588,General,49,Text Overlay
V000233,C00135,2022-03-04,Education,Live Stream,Filipino,3010,General,33,Collage
V000234,C01592,2025-12-08,News,Live Stream,Spanish,12152,General,55,Text Overlay
V000235,C00629,2012-01-23,Sports,Live Stream,Indonesian,5655,General,74,Collage
V000236,C00367,2024-01-18,Sports,Short,Urdu,43,Teen,15,Minimalist
V000237,C00694,2025-01-08,Sports,Standard Video,Japanese,144,General,40,Before-After
V000238,C00888,2015-03-15,Gaming,Short,Hindi,24,General,,Screenshot
V000239,C01303,2024-12-01,Education,Premiere,Urdu,652,General,47,Before-After
V000240,C01783,2024-10-20,Education,Standard Video,Hindi,296,General,34,Before-After
V000241,C01238,2013-03-12,Lifestyle,Standard Video,Spanish,1236,General,50,Screenshot
V000242,C00499,2025-09-17,Music,Short,English,52,Mature,26,Face Close-up
V000243,C00156,2012-11-29,Entertainment,Short,English,22,Teen,8,Face Close-up
V000244,C01694,2024-06-02,Entertainment,Standard Video,English,347,General,45,Minimalist
V000245,C01978,2024-12-22,Sports,Short,Hindi,32,General,29,Before-After
V000246,C01123,2024-06-02,Film,Standard Video,Marathi,857,General,42,Bright Colors
V000247,C00321,2023-06-02,Comedy,Short,English,37,General,23,Face Close-up
V000248,C00383,2024-04-20,Music,Standard Video,English,522,Teen,40,Screenshot
V000249,C00282,2012-08-05,News,Standard Video,Turkish,138,General,53,Text Overlay
V000250,C01924,2011-06-17,Entertainment,Live Stream,Hindi,3098,General,17,Bright Colors
V000251,C00653,2025-06-05,Entertainment,Short,English,38,General,12,Text Overlay
V000252,C00963,2019-05-20,Sports,Short,English,33,Teen,25,Text Overlay
V000253,C01012,2011-09-23,Entertainment,Standard Video,Hindi,336,General,58,Screenshot
V000254,C00443,2024-06-28,Entertainment,Standard Video,Spanish,423,Teen,79,Minimalist
V000255,C01618,2025-07-04,Music,Standard Video,Kannada,805,General,25,Text Overlay
V000256,C00196,2020-10-20,Comedy,Short,English,57,General,28,Face Close-up
V000257,C01822,2023-10-07,Entertainment,Standard Video,Hindi,1163,General,66,Text Overlay
V000258,C01228,2022-12-29,Gaming,Short,English,42,General,19,Before-After
V000259,C01743,2019-07-13,Gaming,Short,Urdu,16,General,25,Text Overlay
V000260,C01976,2017-11-04,Comedy,Standard Video,Hindi,299,General,29,Face Close-up
V000261,C00864,2023-03-08,Entertainment,Standard Video,Hindi,338,General,49,Text Overlay
V000262,C01111,2012-05-19,Music,Live Stream,English,10851,General,11,Bright Colors
V000263,C00369,2012-04-16,Gaming,Short,English,57,Teen,18,Screenshot
V000264,C00358,2014-08-21,Technology,Short,Spanish,34,,24,Face Close-up
V000265,C01937,2022-01-28,Gaming,Short,English,40,General,9,Face Close-up
V000266,C00559,2022-12-03,Film,Short,Hindi,48,Teen,24,Face Close-up
V000267,C01031,2020-11-13,Sports,Standard Video,English,572,General,70,Bright Colors
V000268,C01376,2015-02-13,Comedy,Short,Hindi,37,General,21,
V000269,C01644,2020-02-06,Music,Standard Video,English,526,General,33,Face Close-up
V000270,C01554,2022-07-28,Entertainment,Short,English,27,General,18,Collage
V000271,C00377,2026-07-10,Sports,Short,Thai,37,General,,Collage
V000272,C01132,2021-12-16,Film,Standard Video,Hindi,606,General,63,Screenshot
V000273,C01135,2019-11-08,News,Standard Video,English,3073,General,36,Screenshot
V000274,C01507,2012-09-25,Education,Standard Video,Hindi,263,General,42,Minimalist
V000275,C00409,2018-02-28,Music,Standard Video,English,1654,General,56,Screenshot
V000276,C00363,2026-05-17,Education,Short,English,56,General,28,Before-After
V000277,C01676,2013-05-30,Comedy,Standard Video,English,379,General,50,Face Close-up
V000278,C01678,2024-12-13,Lifestyle,Standard Video,Hindi,950,General,50,Bright Colors
V000279,C01724,2026-04-08,Sports,Standard Video,Portuguese,91,General,20,Text Overlay
V000280,C01268,2014-08-31,Film,Standard Video,English,218,General,59,Screenshot
V000281,C01089,2013-12-10,Education,Standard Video,English,559,Mature,47,Face Close-up
V000282,C01135,2024-09-19,News,Standard Video,English,1068,General,47,Face Close-up
V000283,C00431,2025-08-20,Music,Standard Video,Tamil,304,General,62,Before-After
V000284,C01442,2018-06-18,Entertainment,Standard Video,English,896,General,57,Text Overlay
V000285,C00341,2020-07-11,Comedy,Standard Video,English,140,General,62,Text Overlay
V000286,C00465,2022-09-12,Lifestyle,Standard Video,Hindi,249,General,44,Collage
V000287,C01249,2018-02-24,Entertainment,Standard Video,Portuguese,1495,Teen,58,Text Overlay
V000288,C01622,2015-02-05,Gaming,Premiere,Hindi,288,General,32,Bright Colors
V000289,C01865,2012-11-21,Entertainment,Premiere,Portuguese,245,General,14,Face Close-up
V000290,C01767,2010-09-30,Comedy,Standard Video,Hindi,282,General,51,Screenshot
V000291,C01891,2025-02-13,Lifestyle,Short,Portuguese,51,General,11,Screenshot
V000292,C01921,2015-05-15,Sports,Standard Video,English,1017,General,30,Collage
V000293,C00015,2024-08-03,Entertainment,Short,English,40,General,22,Collage
V000294,C01655,2024-12-08,Music,Standard Video,Spanish,315,General,46,Bright Colors
V000295,C00993,2024-06-08,Lifestyle,Short,English,48,General,31,Text Overlay
V000296,C00006,2016-08-29,Comedy,Short,Korean,31,General,21,Screenshot
V000297,C01203,2024-12-15,Music,Short,Hindi,35,General,17,Face Close-up
V000298,C00125,2026-07-05,Sports,Standard Video,Indonesian,737,Teen,70,Minimalist
V000299,C01665,2026-06-22,Music,Premiere,Indonesian,133,General,23,Face Close-up
V000300,C00051,2026-03-05,Gaming,Standard Video,English,233,General,67,Screenshot
V000301,C01499,2023-11-18,Entertainment,Standard Video,Indonesian,268,Teen,47,Minimalist
V000302,C00469,2024-12-08,Sports,Standard Video,English,332,General,42,Screenshot
V000303,C00319,2015-04-26,Gaming,Standard Video,Spanish,460,General,42,Collage
V000304,C00245,2011-08-01,Sports,Short,Hindi,41,General,19,Before-After
V000305,C00256,2022-11-01,Lifestyle,Live Stream,English,8458,General,42,Minimalist
V000306,C00214,2024-02-14,Entertainment,Standard Video,English,206,General,21,Screenshot
V000307,C01025,2016-01-24,Sports,Standard Video,English,154,Teen,47,Bright Colors
V000308,C00928,2020-11-19,News,Short,Portuguese,38,General,31,
V000309,C01507,2013-09-01,Education,Short,Hindi,34,General,41,Before-After
V000310,C01346,2022-10-14,Comedy,Short,English,29,General,37,Face Close-up
V000311,C00605,2015-04-25,News,Standard Video,Spanish,1532,General,33,Text Overlay
V000312,C01922,2026-07-19,Sports,Short,Indonesian,51,General,23,
V000313,C01777,2025-11-24,Technology,Premiere,Portuguese,172,Teen,44,Minimalist
V000314,C01536,2021-12-12,News,Standard Video,English,69,Teen,52,Screenshot
V000315,C00055,2018-02-21,Entertainment,Standard Video,Vietnamese,560,General,35,Minimalist
V000316,C00422,2026-05-28,Film,Live Stream,English,4218,General,54,Minimalist
V000317,C01348,2015-07-27,Film,Premiere,English,270,General,71,
V000318,C00172,2012-06-06,Technology,Standard Video,Hindi,299,General,68,Collage
V000319,C01744,2025-12-21,Comedy,Standard Video,Hindi,297,General,67,Minimalist
V000320,C00441,2025-07-13,Education,Short,Japanese,21,General,40,Minimalist
V000321,C00257,2016-08-06,Technology,Standard Video,Filipino,1250,General,38,Face Close-up
V000322,C01471,2026-04-28,Film,Standard Video,Kannada,786,General,21,Face Close-up
V000323,C01861,2025-03-18,Gaming,Standard Video,English,299,General,77,Face Close-up
V000324,C00915,2015-09-24,Sports,Short,Korean,24,General,50,Text Overlay
V000325,C01883,2019-09-21,Comedy,Premiere,Filipino,200,Teen,45,Minimalist
V000326,C00886,2026-01-15,Technology,Standard Video,English,973,General,47,Face Close-up
V000327,C00794,2019-06-13,Music,Standard Video,English,255,General,,Minimalist
V000328,C01294,2016-05-07,Lifestyle,Standard Video,English,74,General,47,Bright Colors
V000329,C01031,2018-07-13,Sports,Standard Video,English,199,General,,Bright Colors
V000330,C00676,2013-11-04,Sports,Standard Video,Portuguese,293,General,55,Before-After
V000331,C01039,2024-06-05,Lifestyle,Short,English,29,Teen,9,Screenshot
V000332,C00175,2011-03-09,Gaming,Standard Video,Turkish,389,General,54,
V000333,C01213,2018-07-06,Technology,Standard Video,Hindi,312,General,29,Bright Colors
V000334,C01676,2018-04-29,Comedy,Standard Video,English,258,General,34,Face Close-up
V000335,C00323,2019-01-08,Entertainment,Standard Video,English,289,Teen,62,Before-After
V000336,C00047,2015-10-13,Music,Standard Video,English,403,General,41,Collage
V000337,C00694,2025-07-19,Sports,Short,English,36,General,8,Bright Colors
V000338,C00597,2023-06-07,Entertainment,Standard Video,English,551,General,35,Before-After
V000339,C01418,2025-01-04,Music,Standard Video,Spanish,288,Teen,56,Collage
V000340,C00163,2015-12-09,Entertainment,Standard Video,Portuguese,848,Mature,52,Minimalist
V000341,C00636,2023-08-15,Sports,Short,Hindi,17,Teen,13,Bright Colors
V000342,C00036,2019-01-17,News,Standard Video,Hindi,162,General,50,Face Close-up
