user_id,signup_date,country,region,age_group,preferred_language,subscription_type,acquisition_channel,preferred_device,account_status
U000035,2025-07-19,United States,Northeast,25-34,English,Free,Direct,Mobile,Active
U000036,2025-11-03,India,West India,18-24,Hindi,Free,Google Ads,TV,Active
U000037,2025-08-15,India,Central India,45-54,Hindi,Free,Direct,Desktop,Active
U000038,2021-12-23,Nigeria,,25-34,English,Free,Pre-installed App,Desktop,Active
U000039,2026-01-08,United States,Midwest,35-44,English,Free,Organic Search,Mobile,Inactive
U000040,2025-07-25,Brazil,South,25-34,Portuguese,Free,Organic Search,Mobile,Active
U000041,2026-01-20,Brazil,Central-West,25-34,Portuguese,Free,Organic Search,Mobile,Active
U000042,2025-04-14,India,East India,25-34,Hindi,Free,Organic Search,Mobile,Active
U000043,2023-08-13,France,,18-24,French,Free,Social Media,Mobile,Active
U000044,2025-10-07,Turkey,,35-44,English,Free,Organic Search,Mobile,Churned
U000045,2025-07-09,India,West India,25-34,Hindi,YouTube Premium,Organic Search,DESKTOP,Active
U000046,2020-10-08,Japan,Chubu,35-44,English,Free,Organic Search,Mobile,Active
U000047,2025-09-19,Japan,Kanto,55-64,English,Free,Social Media,Tablet,Active
U000048,2026-02-23,Vietnam,,18-24,Vietnamese,Free,Direct,Desktop,Churned
U000049,2021-10-29,United States,West,35-44,English,Free,Organic Search,Mobile,Churned
U000050,2026-03-04,India,West India,25-34,Telugu,Free,Social Media,Desktop,Inactive
U000051,2025-12-24,India,Central India,25-34,Hindi,Free,Direct,Mobile,Active
U000052,2025-11-09,Philippines,,18-24,Filipino,Free,Direct,Mobile,Active
U000053,2024-06-21,Indonesia,Sumatra,35-44,Indonesian,Free,Organic Search,Mobile,Active
U000054,2025-07-25,Vietnam,,35-44,English,Premium Trial,Organic Search,Desktop,Churned
U000055,2025-07-25,MEXICO,Central Mexico,35-44,English,Free,Organic Search,Mobile,Active
U000056,2021-03-12,United Kingdom,England,45-54,English,Free,Organic Search,Mobile,Active
U000057,2025-04-05,Germany,Baden-Wurttemberg,18-24,German,YouTube Premium,Social Media,Mobile,Active
U000058,2022-05-28,United States,West,25-34,English,Premium Trial,Organic Search,Mobile,Active
U000059,2026-06-06,Germany,Baden-Wurttemberg,25-34,German,Free,Social Media,Mobile,Active
U000060,2026-04-17,United States,South,35-44,English,Free,Organic Search,Desktop,Inactive
U000061,2022-01-04,India,West India,18-24,Hindi,YouTube Premium,Pre-installed App,Mobile,Inactive
U000062,2020-08-19,Turkey,,45-54,Turkish,Premium Trial,Organic Search,Desktop,Active
U000063,2025-07-23,Philippines,,55-64,Filipino,Free,Referral,Mobile,Active
U000064,2025-06-20,Philippines,,35-44,Filipino,Free,Organic Search,Mobile,Active
U000065,2023-02-13,Brazil,Southeast,18-24,Portuguese,Free,Social Media,Tablet,Active
U000066,2024-05-01,Nigeria,,65+,English,Free,Pre-installed App,Desktop,Active
U000067,2024-11-16,United States,South,25-34,Spanish,Premium Trial,Organic Search,Mobile,Active
U000068,2026-01-18,United States,Midwest,25-34,English,Free,Google Ads,Mobile,Active
U000069,2025-08-30,United States,Northeast,18-24,English,Free,Social Media,Tablet,Active
U000070,2025-07-29,Philippines,,35-44,Filipino,Free,Referral,Mobile,Active
U000071,2025-08-09,United States,Midwest,25-34,English,Free,Social Media,Desktop,Active
U000072,2026-02-06,India,East India,18-24,Hindi,Free,Google Ads,Tablet,Active
U000073,2025-07-02,United States,West,35-44,Spanish,Free,Google Ads,Mobile,Inactive
U000074,2025-12-02,Indonesia,Sumatra,18-24,Indonesian,Free,Referral,Mobile,Active
U000075,2025-08-24,United States,South,25-34,English,YouTube Premium,Organic Search,Mobile,Inactive
U000076,2026-07-02,Philippines,,25-34,English,Free,Organic Search,Tablet,Active
U000077,2025-12-21,India,Central India,35-44,Hindi,Free,Organic Search,Mobile,Active
U000078,2025-07-09,United Kingdom,England,25-34,English,Free,Referral,Mobile,Active
U000079,2021-11-11,United States,Midwest,35-44,English,Free,Social Media,TV,Active
U000080,2024-06-06,India,,25-34,Hindi,YouTube Premium,Social Media,Mobile,Active
U000081,2025-02-25,United States,Northeast,25-34,English,Free,Organic Search,TV,Active
U000082,2026-03-25,India,Central India,18-24,Hindi,Free,Organic Search,TV,Active
U000083,2023-12-15,France,,25-34,French,Free,Social Media,Mobile,Active
U000084,2025-11-01,United States,West,18-24,English,Free,Organic Search,Mobile,Active
U000085,2026-02-11,Pakistan,,35-44,Urdu,Free,Direct,Tablet,Active
U000086,2025-12-11,United States,West,25-34,Spanish,Free,Direct,Desktop,Active
U000087,2025-06-25,India,East India,18-24,Bengali,Free,Organic Search,Mobile,Active
U000088,2020-11-15,India,Central India,25-34,Hindi,YouTube Premium,Direct,Mobile,Active
U000089,2026-06-13,United States,South,25-34,Spanish,YouTube Premium,Google Ads,Mobile,Active
U000090,2025-04-17,France,,18-24,English,Free,Social Media,Game Console,Active
U000091,2026-02-14,japan,Kanto,25-34,English,Free,Social Media,Mobile,Active
U000092,2025-07-25,United Kingdom,Scotland,55-64,English,YouTube Premium,Referral,Desktop,Active
U000093,2026-07-02,Brazil,South,25-34,Portuguese,Free,Direct,Mobile,Active
U000094,2026-02-12,United States,Northeast,65+,English,Free,Social Media,Game Console,Active
U000095,2026-03-22,Vietnam,,35-44,Vietnamese,Free,Social Media,Mobile,Active
U000096,2022-11-07,japan,Kanto,18-24,English,YouTube Premium,Direct,Mobile,Active
U000097,2026-01-20,India,Central India,18-24,English,YouTube Premium,Social Media,TV,Active
U000098,2026-02-22,Mexico,Yucatan,18-24,Spanish,YouTube Premium,Organic Search,Tablet,Active
U000099,2025-11-09,Vietnam,,18-24,Vietnamese,Free,Direct,Mobile,Active
U000100,2022-04-09,United States,West,18-24,Spanish,Free,Organic Search,TV,Active
U000101,2024-06-11,United States,Midwest,18-24,English,Free,Direct,Mobile,Active
U000102,2024-06-29,Nigeria,,25-34,English,Free,Pre-installed App,Desktop,Active
U000103,2025-12-05,Brazil,South,35-44,English,Free,Organic Search,TV,Active
U000104,2025-05-22,United States,,18-24,Spanish,YouTube Premium,Organic Search,Mobile,Active
U000105,2025-01-13,Nigeria,,45-54,English,Free,Social Media,Tablet,Active
U000106,2023-04-18,Thailand,,25-34,Thai,YouTube Premium,Direct,Mobile,Churned
U000107,2026-06-18,India,North India,55-64,Telugu,Free,Social Media,Mobile,Active
U000108,2025-10-20,Brazil,Northeast,25-34,Portuguese,Free,Social Media,Mobile,Churned
U000109,2026-06-08,India,East India,18-24,Hindi,Free,Organic Search,Desktop,Active
U000110,2024-09-09,Indonesia,Java,35-44,Indonesian,Free,Organic Search,Mobile,Inactive
U000111,2022-10-14,United States,Midwest,45-54,Spanish,Free,Google Ads,Mobile,Active
U000112,2025-08-25,Turkey,,45-54,Turkish,Free,Organic Search,Mobile,Inactive
U000113,2026-05-01,Canada,Quebec,55-64,English,Free,Organic Search,Mobile,Churned
U000114,2023-06-13,India,Central India,18-24,Hindi,Free,Organic Search,Mobile,Active
U000115,2025-10-28,France,,25-34,French,Free,Google Ads,Mobile,Active
U000116,2025-04-06,United States,West,45-54,English,Free,Google Ads,TV,Active
U000117,2025-01-18,United States,Northeast,65+,English,Free,Social Media,Desktop,Active
U000118,2024-01-27,South Korea,,25-34,Korean,Free,Social Media,Desktop,Active
U000119,2026-06-14,United States,West,25-34,English,Free,Social Media,Mobile,Active
U000120,2025-05-29,India,East India,25-34,Hindi,Premium Trial,Social Media,TV,Active
U000121,2025-06-28,India,West India,35-44,Hindi,Free,Organic Search,Desktop,Active
U000122,2022-06-06,United States,Northeast,35-44,,Free,Pre-installed App,Mobile,Active
U000123,2025-12-11,South Korea,,18-24,Korean,Free,Organic Search,Mobile,Active
U000124,2026-07-04,India,,25-34,Hindi,Free,Google Ads,Desktop,Active
U000125,2025-10-17,India,West India,25-34,Hindi,Free,Organic Search,Mobile,Active
U000126,2025-07-02,Spain,,35-44,English,Free,Referral,Mobile,Active
U000127,2026-06-26,Brazil,Southeast,55-64,Portuguese,Premium Trial,Social Media,Game Console,Active
U000128,2026-05-08,France,,18-24,English,Premium Trial,Organic Search,Desktop,Active
U000129,2026-07-07,Brazil,Northeast,18-24,English,Free,Organic Search,Mobile,Active
U000130,2023-01-16,Mexico,Central Mexico,13-17,Spanish,Free,Google Ads,Desktop,Active
U000131,2025-09-06,Italy,,18-24,Italian,Free,Organic Search,TV,Active
U000132,2021-04-18,Italy,,18-24,Italian,YouTube Premium,Organic Search,Mobile,Active
U000133,2025-03-09,India,North India,18-24,Hindi,Free,Pre-installed App,Mobile,Active
U000134,2026-04-01,United Kingdom,England,45-54,English,Free,Google Ads,TV,Active
U000135,2021-12-10,Brazil,North,45-54,,Free,Organic Search,TV,Inactive
U000136,2025-10-24,India,West India,25-34,Marathi,Free,Google Ads, Desktop ,Active
U000137,2022-11-19,India,Central India,18-24,Hindi,Free,Pre-installed App,Mobile,Active
U000138,2022-12-02,Indonesia,Sulawesi,25-34,Indonesian,Free,Google Ads,Mobile,Active
U000139,2022-08-04,India,North India,18-24,Hindi,Free,Social Media,Mobile,Active
U000140,2025-12-29,Australia,Victoria,18-24,English,Free,Organic Search,Desktop,Active
U000141,2024-12-04,United States,Midwest,65+,English,Free,Organic Search,Mobile,Churned
U000142,2025-01-09,Brazil,Central-West,25-34,Portuguese,Free,Google Ads,Desktop,Active
U000143,2022-06-24,Philippines,,35-44,Filipino,Free,Organic Search,Mobile,Churned
U000144,2024-01-23,Indonesia,Kalimantan,35-44,English,Free,Direct,Desktop,Active
U000145,2023-11-23,Brazil,Northeast,18-24,Portuguese,YouTube Premium,Organic Search,Mobile,Active
U000146,2026-06-08,Vietnam,,45-54,Vietnamese,Free,Social Media,Mobile,Active
U000147,2026-05-01,India,Central India,65+,Hindi,Free,Google Ads,TV,Inactive
U000148,2024-09-03,Indonesia,Kalimantan,25-34,Indonesian,Free,Organic Search,Tablet,Active
U000149,2025-09-22,SPAIN,,25-34,Spanish,Free,Social Media,Tablet,Inactive
U000150,2026-03-17,Nigeria,,45-54,English,Free,Organic Search,Mobile,Churned
U000151,2025-04-12,United States,South,25-34,Spanish,Premium Trial,Social Media,Mobile,Active
U000152,2025-07-05,Canada,British Columbia,55-64,English,YouTube Premium,Organic Search,TV,Active
U000153,2026-06-05,South Korea,,25-34,Korean,Free,Referral,Mobile,Active
U000154,2025-03-29,United States,Midwest,18-24,English,Free,Organic Search,Mobile,Active
U000155,2026-02-24,Australia,Western Australia,18-24,English,Free,Social Media,TV,Active
U000156,2025-07-03,Indonesia,Sumatra,18-24,English,Free,Direct,Mobile,Active
U000157,2025-09-28,Australia,Western Australia,18-24,English,Free,Social Media,Game Console,Churned
U000158,2025-07-21,Mexico,Northern Mexico,35-44,Spanish,Free,Social Media,Mobile,Active
U000159,2025-07-24,India,Central India,25-34,Hindi,Free,Social Media,Mobile,Active
U000160,2022-05-22,India,North India,35-44,Hindi,Free,Social Media,Mobile,Churned
U000161,2025-09-15,Indonesia,Kalimantan,35-44,,Free,Google Ads,Mobile,Active
U000162,2022-10-20,India,West India,13-17,Hindi,Free,Social Media,Tablet,Active
U000163,2026-01-10,Nigeria,,13-17,English,Free,Social Media,Mobile,Churned
U000164,2026-02-06,United States,West,35-44,English,Free,Organic Search,Desktop,Inactive
U000165,2021-08-15,India,South India,35-44,Hindi,Free,Direct,Mobile,Active
U000166,2025-08-05,United Kingdom,Scotland,35-44,English,Free,Referral,TV,Churned
U000167,2022-10-07,VIETNAM,,18-24,English,Free,Referral,Mobile,Active
U000168,2023-11-05,India,,18-24,Hindi,Premium Trial,Social Media,Mobile,Active
U000169,2026-02-08,India,North India,13-17,Hindi,Free,Organic Search,TV,Active
U000170,2025-04-18,Philippines,,18-24,Filipino,Free,Organic Search,Mobile,Active
U000171,2025-12-20,India,West India,65+,Hindi,Free,Social Media,Mobile,Active
U000172,2024-11-07,India,North India,25-34,Hindi,Free,Organic Search,Mobile,Active
U000173,2026-02-05,Thailand,,18-24,Thai,Free,Organic Search,Tablet,Active
U000174,2020-10-02,United States,Midwest,25-34,English,YouTube Premium,Direct,Mobile,Active
U000175,2025-08-11,South Korea,,25-34,Korean,Free,Direct,Mobile,Active
U000176,2026-01-22,Brazil,Central-West,18-24,Portuguese,Free,Social Media,Mobile,Active
U000177,2025-09-12,Spain,,18-24,Spanish,Free,Google Ads,Desktop,Active
U000178,2025-07-25,Brazil,South,25-34,Portuguese,Free,Google Ads,Mobile,Active
U000179,2025-02-17,Philippines,,35-44,Filipino,Free,Google Ads,Mobile,Active
U000180,2024-10-24,Spain,,25-34,Spanish,Free,Social Media,Tablet,Inactive
U000181,2024-07-03,United States,West,35-44,English,Free,Organic Search,Mobile,Churned
U000182,2025-05-12,india,West India,18-24,Hindi,Free,Google Ads,Tablet,Active
U000183,2025-07-24,Brazil,Central-West,18-24,Portuguese,Free,Referral,Desktop,Active
U000184,2025-09-22,Nigeria,,18-24,English,YouTube Premium,Pre-installed App,TV,Active
U000185,2022-03-12,Japan,Kansai,35-44,Japanese,Free,Pre-installed App,Tablet,Active
U000186,2022-06-10,Turkey,,25-34,Turkish,Free,Organic Search,Tablet,Active
U000187,2025-09-19,United States,West,35-44,English,Free,Direct,Desktop,Active
U000188,2025-12-11,India,North India,55-64,Hindi,Free,Organic Search,Desktop,Active
U000189,2021-05-15,United States,South,18-24,English,Free,Google Ads,Desktop,Active
U000190,2025-12-25,United States,Midwest,25-34,Spanish,Free,Organic Search,Mobile,Inactive
U000191,2025-07-05,United States,West,18-24,English,Free,Organic Search,Mobile,Inactive
U000192,2025-12-02,United States,Midwest,18-24,Spanish,Free,Google Ads,Tablet,Inactive
U000193,2025-11-08,United States,Midwest,18-24,English,YouTube Premium,Social Media,Mobile,Active
U000194,2022-05-22,India,East India,25-34,Hindi,YouTube Premium,Direct,Mobile,Active
U000195,2025-11-21,Mexico,Southern Mexico,35-44,Spanish,Premium Trial,Organic Search,Mobile,Inactive
U000196,2025-09-09,Germany,Baden-Wurttemberg,45-54,German,Free,Organic Search,TV,Active
U000197,2025-02-12,Canada,Alberta,18-24,French,Free,Social Media,Mobile,Active
U000198,2022-06-14,United States,South,45-54,Spanish,Free,Direct,Desktop,Churned
U000199,2026-02-01,United Kingdom,England,25-34,English,Free,Pre-installed App,TV,Active
U000200,2026-05-02,Mexico,Yucatan,18-24,Spanish,YouTube Premium,Organic Search,Mobile,Active
U000201,2025-07-17,South Korea,,18-24,Korean,YouTube Premium,Google Ads,Desktop,Churned
U000202,2022-01-22,Germany,Baden-Wurttemberg,55-64,German,Free,Social Media,Desktop,Active
U000203,2023-03-06,India,North India,25-34,Bengali,Premium Trial,Google Ads,Mobile,Active
U000204,2025-09-26,United States,Midwest,25-34,,Free,Organic Search,Desktop,Inactive
U000205,2025-12-17,Vietnam,,25-34,Vietnamese,Free,Organic Search,Mobile,Active
U000206,2025-12-23,Philippines,,45-54,Filipino,Free,Referral,Mobile,Active
U000207,2026-04-13,India,North India,35-44,Hindi,Premium Trial,Social Media,TV,Active
U000208,2022-05-22,United Kingdom,Wales,13-17,English,Free,Direct,TV,Inactive
U000209,2025-11-16,India,East India,35-44,English,YouTube Premium,Organic Search,Mobile,Active
U000210,2024-05-31,Australia,Western Australia,18-24,English,YouTube Premium,Direct,Mobile,Active
U000211,2025-07-08,Spain,,18-24,English,Free,Organic Search,Desktop,Active
U000212,2020-10-20,France,,35-44,French,Free,Organic Search,Mobile,Active
U000213,2025-08-07,France,,35-44,French,Free,Organic Search,Mobile,Active
U000214,2025-02-28,Italy,,55-64,English,Free,Organic Search,Mobile,Active
U000215,2025-07-08,United States,South,45-54,Spanish,Free,Organic Search,Desktop,Active
U000216,2025-07-25,Mexico,Yucatan,18-24,Spanish,Free,Organic Search,Mobile,Active
U000217,2026-05-06,India,Central India,25-34,Hindi,Free,Social Media,TV,Active
U000218,2026-02-27,Indonesia,Kalimantan,45-54,Indonesian,YouTube Premium,Social Media,Mobile,Active
U000219,2025-05-12,India,South India,25-34,Kannada,Free,Direct,Mobile,Inactive
U000220,2026-06-11,Germany,Baden-Wurttemberg,25-34,English,Free,Organic Search,TV,Active
U000221,2025-10-02,India,North India,18-24,Bengali,YouTube Premium,Social Media,Desktop,Active
U000222,2024-10-06,France,,18-24,French,Free,Social Media,Tablet,Active
U000223,2025-03-15,France,,35-44,French,Free,Referral,Mobile,Active
U000224,2025-05-22,Spain,,18-24,Spanish,Free,Google Ads,Tablet,Active
U000225,2025-10-14,India,West India,35-44,Hindi,Free,Pre-installed App,Mobile,Active
U000226,2020-09-29,Turkey,,25-34,Turkish,Free,Organic Search,Mobile,Active
U000227,2025-10-30,United States,Northeast,18-24,English,Free,Organic Search,Tablet,Active
U000228,2023-04-20,India,North India,18-24,Hindi,Premium Trial,Social Media,Mobile,Active
U000229,2021-12-05,Philippines,,18-24,Filipino,Free,Direct,Mobile,Active
U000230,2025-09-27,India,Central India,13-17,English,YouTube Premium,Pre-installed App,Mobile,Inactive
U000231,2026-01-21,South Korea,,45-54,Korean,Free,Pre-installed App,Mobile,Active
U000232,2025-10-12,South Korea,,18-24,Korean,Free,Google Ads,Tablet,Active
U000233,2024-03-09,Mexico,Northern Mexico,45-54,Spanish,Free,Direct,Mobile,Active
U000234,2024-04-11,Brazil,Northeast,25-34,Portuguese,Free,Social Media,Mobile,Active
U000235,2025-05-05,South Korea,,25-34,Korean,Free,Organic Search,Game Console,Active
U000236,2022-08-27,Germany,Bavaria,25-34,German,Free,Pre-installed App,Mobile,Active
U000237,2023-01-18,india,South India,18-24,Hindi,Free,Google Ads,Mobile,Active
U000238,2025-07-15,Brazil,Northeast,18-24,Portuguese,Free,Organic Search,Mobile,Active
U000239,2025-12-03,Brazil,Central-West,35-44,Portuguese,Free,Organic Search,Mobile,Active
U000240,2026-03-01,France,,35-44,French,Free,Referral,Mobile,Active
U000241,2021-11-16,South Korea,,25-34,Korean,Free,Referral,Mobile,Active
U000242,2023-10-14,Mexico,Northern Mexico,18-24,English,Free,Social Media,Desktop,Active
U000243,2026-06-09,India,East India,18-24,Hindi,Free,Organic Search,Mobile,Inactive
U000244,2025-01-28,Vietnam,,13-17,English,Free,Organic Search,Mobile,Active
U000245,2025-06-27,Indonesia,Sulawesi,55-64,Indonesian,Free,Organic Search,Mobile,Inactive
U000246,2022-04-27,Brazil,Southeast,25-34,Portuguese,Premium Trial,Google Ads,Desktop,Churned
U000247,2022-09-07,Thailand,,25-34,Thai,Free,Social Media,Mobile,Active
U000248,2026-06-09,Thailand,,18-24,Thai,YouTube Premium,Organic Search,Mobile,Active
U000249,2025-12-26,Brazil,South,35-44,Portuguese,Free,Pre-installed App,tablet,Active
U000250,2025-11-16,Australia,Queensland,18-24,English,Free,Organic Search,Desktop,Active
U000251,2020-12-06,United States,Midwest,18-24,English,Premium Trial,Direct,Mobile,Active
U000252,2023-06-19,India,Central India,18-24,Hindi,Free,Pre-installed App,Mobile,Active
U000253,2021-10-11,united kingdom,Scotland,65+,English,Premium Trial,Organic Search,Mobile,Active
U000254,2026-02-04,Indonesia,Kalimantan,25-34,Indonesian,Free,Google Ads,Desktop,Active
U000255,2026-03-18,Philippines,,35-44,English,Free,Google Ads,Desktop,Active
U000256,2025-06-26,India,North India,35-44,Hindi,Free,Social Media,TV,Active
U000257,2025-07-25,Indonesia,Sulawesi,35-44,Indonesian,Free,Organic Search,Game Console,Active
U000258,2026-03-08,Germany,Baden-Wurttemberg,18-24,German,Free,Direct,Mobile,Active
U000259,2026-05-31,Indonesia,Kalimantan,25-34,Indonesian,Free,Referral,Mobile,Active
U000260,2025-02-09,United States,South,13-17,English,Free,Organic Search,Desktop,Active
U000261,2025-11-11,Indonesia,Bali & Nusa Tenggara,25-34,Indonesian,Free,Social Media,Tablet,Active
U000262,2025-07-11,Japan,Chubu,18-24,Japanese,YouTube Premium,Pre-installed App,TV,Active
U000263,2025-07-31,Mexico,,13-17,English,Free,Social Media,Game Console,Active
U000264,2026-05-06,Japan,Kanto,25-34,Japanese,Free,Organic Search,Desktop,Active
U000265,2024-11-14,Brazil,North,35-44,Portuguese,Free,Referral,Mobile,Churned
U000266,2026-07-04,United States,West,35-44,Spanish,Free,Social Media,TV,Active
U000267,2026-06-05,India,West India,18-24,Bengali,Free,Organic Search,Mobile,Active
U000268,2026-06-12,India,East India,18-24,Bengali,Free,Google Ads,Tablet,Inactive
U000269,2025-10-26,Mexico,Central Mexico,45-54,Spanish,Free,Organic Search,Tablet,Churned
U000270,2026-05-12,France,,65+,French,Free,Direct,Desktop,Active
U000271,2025-11-25,Nigeria,,45-54,English,Free,Social Media,TV,Active
U000272,2026-01-05,Mexico,Southern Mexico,55-64,Spanish,Free,Referral,Tablet,Active
U000273,2026-06-21,Vietnam,,18-24,Vietnamese,Free,Referral,Tablet,Active
U000274,2024-11-04,Spain,,35-44,Spanish,Free,Social Media,Mobile,Active
U000275,2025-06-25,Spain,,18-24,Spanish,Free,Direct,TV,Inactive
U000276,2025-09-11,Thailand,,18-24,,Free,Pre-installed App,TV,Active
U000277,2026-02-07,India,East India,18-24,Hindi,Free,Social Media,Mobile,Active
U000278,2021-12-12,Vietnam,,45-54,English,YouTube Premium,Social Media,Desktop,Active
U000279,2021-05-22,Philippines,,13-17,Filipino,Free,Pre-installed App,Desktop,Churned
U000280,2022-12-14,India,Central India,18-24,Hindi,Free,Organic Search,Mobile,Active
U000281,2026-02-27,United States,Midwest,25-34,English,YouTube Premium,Social Media,Mobile,Active
U000282,2025-07-29,India,Central India,55-64,Hindi,Free,Social Media,Mobile,Active
U000283,2026-01-13,Brazil,South,35-44,Portuguese,Free,Organic Search,Desktop,Churned
U000284,2025-11-08,Brazil,Central-West,18-24,Portuguese,Free,Organic Search,Tablet,Active
U000285,2024-10-11,India,West India,18-24,Hindi,Free,Social Media,Desktop,Active
U000286,2026-05-21,Indonesia,Sulawesi,18-24,Indonesian,Free,Pre-installed App,Desktop,Active
U000287,2025-09-20,India,West India,35-44,,Free,Organic Search,Mobile,Active
U000288,2025-09-25,Canada,,55-64,English,Free,Social Media,Mobile,Inactive
U000289,2025-07-25,India,Central India,18-24,Hindi,Free,Referral,Mobile,Active
U000290,2026-04-12,Indonesia,Sulawesi,18-24,Indonesian,Free,Google Ads,TV,Active
U000291,2023-12-10,United States,West,35-44,English,Free,Social Media,Mobile,Active
U000292,2025-11-20,Brazil,Central-West,25-34,Portuguese,Free,Direct,Mobile,Inactive
U000293,2025-01-28,Brazil,North,35-44,Portuguese,Free,Organic Search,Mobile,Active
U000294,2026-02-17,Spain,,45-54,Spanish,Free,Social Media,Desktop,Inactive
U000295,2022-10-13,United Kingdom,Wales,35-44,English,YouTube Premium,Referral,Desktop,Active
U000296,2024-05-25,India,North India,25-34,Hindi,Free,Referral,TV,Active
U000297,2025-06-25,Turkey,,55-64,Turkish,Free,Google Ads,Tablet,Active
U000298,2025-07-23,Mexico,Northern Mexico,18-24,Spanish,Free,Google Ads,Mobile,Inactive
U000299,2025-07-11,India,East India,35-44,Telugu,Free,Google Ads,Tablet,Active
U000300,2024-07-02,Indonesia,Bali & Nusa Tenggara,25-34,Indonesian,YouTube Premium,Organic Search,Mobile,Active
U000301,2023-09-12,India,South India,25-34,Hindi,Free,Pre-installed App,Desktop,Active
U000302,2026-01-18,Mexico,Yucatan,25-34,English,Free,Pre-installed App,Mobile,Active
U000303,2023-03-12,Brazil,Northeast,18-24,Portuguese,Free,Social Media,Mobile,Active
U000304,2025-07-24,India,Central India,18-24,Hindi,Free,Social Media,Tablet,Active
U000305,2025-07-03,United Kingdom,Wales,25-34,English,Free,Pre-installed App,Mobile,Active
U000306,2022-10-28,United States,South,45-54,Spanish,Free,Pre-installed App,Mobile,Active
U000307,2025-12-12,Nigeria,,25-34,English,Free,Pre-installed App,Desktop,Active
U000308,2023-04-09,Canada,Alberta,55-64,French,YouTube Premium,Google Ads,Mobile,Active
U000309,2026-02-19,United States,South,25-34,Spanish,Free,Organic Search,Mobile,Active
U000310,2026-06-08,United States,West,25-34,English,Free,Organic Search,Desktop,Active
U000311,2021-02-28,India,West India,35-44,Hindi,Free,Organic Search,Desktop,Inactive
U000312,2025-09-07,Indonesia,Java,35-44,English,Premium Trial,Social Media,Mobile,Active
U000313,2025-12-23,Turkey,,18-24,English,Free,Organic Search,Mobile,Active
U000314,2025-10-22,India,South India,18-24,Marathi,Free,Organic Search,TV,Active
U000315,2026-02-18,India,West India,18-24,Hindi,Free,Social Media,Mobile,Active
U000316,2025-12-05,Philippines,,18-24,Filipino,YouTube Premium,Organic Search,Mobile,Inactive
U000317,2026-06-11,Vietnam,,18-24,English,YouTube Premium,Organic Search,Mobile,Active
U000318,2025-05-24,India,North India,55-64,Hindi,YouTube Premium,Organic Search,Desktop,Inactive
